"","Movie","Year","Rating","Director"
"1","American Psycho","(2000)","69%","
                Directed By: Mary Harron"
"2","Black Christmas","(1974)","71%","
                Directed By: Bob Clark"
"3","Scanners","(1981)","70%","
                Directed By: David Cronenberg"
"4","A Nightmare on Elm Street 3: Dream Warriors","(1987)","72%","
                Directed By: Chuck Russell"
"5","Black Sheep","(2006)","72%","
                Directed By: Jonathan King"
"6","Bram Stoker's Dracula","(1992)","72%","
                Directed By: Francis Ford Coppola"
"7","Hellraiser","(1987)","72%","
                Directed By: Clive Barker"
"8","It's Alive","(1973)","74%","
                Directed By: Larry Cohen"
"9","Jacob's Ladder","(1990)","73%","
                Directed By: Adrian Lyne"
"10","Open Water","(2004)","71%","
                Directed By: Chris Kentis"
"11","The Mist","(2007)","72%","
                Directed By: Frank Darabont"
"12","The Ring","(2002)","71%","
                Directed By: Gore Verbinski"
"13","Phantasm","(1979)","74%","
                Directed By: Don Coscarelli"
"14","Frailty","(2002)","74%","
                Directed By: Bill Paxton"
"15","Dog Soldiers","(2002)","79%","
                Directed By: Neil Marshall"
"16","Basket Case","(1982)","77%","
                Directed By: Frank Henenlotter"
"17","Eden Lake","(2008)","79%","
                Directed By: James Watkins"
"18","Candyman","(1992)","75%","
                Directed By: Bernard Rose"
"19","Oculus","(2014)","74%","
                Directed By: Mike Flanagan"
"20","Land of the Dead","(2005)","74%","
                Directed By: George A. Romero"
"21","Night of the Comet","(1984)","78%","
                Directed By: Thom Eberhardt"
"22","Wes Craven's New Nightmare","(1994)","80%","
                Directed By: Wes Craven"
"23","Trick 'r Treat","(2007)","81%","
                Directed By: Michael Dougherty"
"24","The Lost Boys","(1987)","76%","
                Directed By: Joel Schumacher"
"25","The Lodge","(2020)","74%","
                Directed By: Severin Fiala, Veronika Franz"
"26","Scream","(1996)","78%","
                Directed By: Wes Craven"
"27","Southbound","(2016)","81%","
                Directed By: David Bruckner, Patrick Horvath, Roxanne Benjamin"
"28","Lights Out","(2016)","76%","
                Directed By: David F. Sandberg"
"29","The Platform (El Hoyo)","(2020)","79%","
                Directed By: Galder Gaztelu-Urrutia"
"30","The Brood","(1979)","83%","
                Directed By: David Cronenberg"
"31","The Cat o' Nine Tails (Il gatto a nove code)","(1971)","82%","
                Directed By: Dario Argento"
"32","Mute Witness","(1995)","83%","
                Directed By: Anthony Waller"
"33","You're Next","(2013)","78%","
                Directed By: Adam Wingard"
"34","Videodrome","(1983)","80%","
                Directed By: David Cronenberg"
"35","Bakjwi (Thirst)","(2009)","81%","
                Directed By: Park Chan-wook"
"36","Audition (Ôdishon)","(1999)","82%","
                Directed By: Takashi Miike"
"37","Three...Extremes (Saam gaang yi)","(2005)","84%","
                Directed By: Takashi Miike, Fruit Chan, Park Chan-wook, Kim Jee-woon"
"38","Dead Ringers","(1988)","83%","
                Directed By: David Cronenberg"
"39","Scream 2","(1997)","81%","
                Directed By: Wes Craven"
"40","1408","(2007)","80%","
                Directed By: Mikael Håfström"
"41","A Tale of Two Sisters","(2003)","85%","
                Directed By: Kim Jee-woon"
"42","Ouija: Origin of Evil","(2016)","82%","
                Directed By: Mike Flanagan"
"43","Pontypool","(2009)","84%","
                Directed By: Bruce McDonald"
"44","The Shallows","(2016)","78%","
                Directed By: Jaume Collet-Serra"
"45","Shadow of the Vampire","(2000)","82%","
                Directed By: E. Elias Merhige"
"46","The House of the Devil","(2009)","85%","
                Directed By: Ti West"
"47","Tucker and Dale vs. Evil","(2011)","85%","
                Directed By: Eli Craig"
"48","Dracula: Pages From a Virgin's Diary","(2003)","87%","
                Directed By: Guy Maddin"
"49","The Others","(2001)","83%","
                Directed By: Alejandro Amenábar"
"50","Creature from the Black Lagoon","(1954)","79%","
                Directed By: Jack Arnold"
"51","Tremors","(1990)","86%","
                Directed By: Ron Underwood"
"52","Creep","(2015)","89%","
                Directed By: Patrick Brice"
"53","Carnival of Souls","(1962)","86%","
                Directed By: Herk Harvey"
"54","[Rec]","(2007)","89%","
                Directed By: Jaume Balagueró, Paco Plaza"
"55","Paranormal Activity","(2009)","83%","
                Directed By: Oren Peli"
"56","The Conjuring 2","(2016)","80%","
                Directed By: James Wan"
"57","Ginger Snaps","(2001)","89%","
                Directed By: John Fawcett"
"58","Goodnight Mommy (Ich seh, Ich seh)","(2015)","85%","
                Directed By: Veronika Franz, Severin Fiala"
"59","Los ojos de Julia (Julia's Eyes)","(2010)","90%","
                Directed By: Guillem Morales"
"60","Sisters","(1973)","87%","
                Directed By: Brian DePalma"
"61","Cargo","(2018)","88%","
                Directed By: Yolanda Ramke, Ben Howling"
"62","Slither","(2006)","86%","
                Directed By: James Gunn (II)"
